,job_name,company,location,salary,skills_req,link
10,Executive - Client Servicing,Zoopero Marketing Private Limited,"Kolkata, Mumbai, Chandigarh, Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru, Goa",Not disclosed,"Communication Skills, MS Excel, Client Servicing, Google Docs, communication, MS Word, verbal communication, written",https://www.naukri.com/job-listings-executive-client-servicing-zoopero-marketing-private-limited-kolkata-mumbai-chandigarh-hyderabad-secunderabad-pune-chennai-delhi-ncr-bangalore-bengaluru-goa-0-to-4-years-280222901953?src=jobsearchDesk&sid=16470880780401477&xp=11&px=1
11,Technical Support Engineer ( Voice Process).,DXC Technology,"Noida, Chennai, Bangalore/Bengaluru",Not disclosed,"communication, spoken communication, written, Copyright, Communication Skills, Hardware Networking, Database Handling, Technical Support",https://www.naukri.com/job-listings-technical-support-engineer-voice-process-dxc-technology-india-private-limited-noida-chennai-bangalore-bengaluru-0-to-3-years-100322604661?src=jobsearchDesk&sid=16470880780401477&xp=12&px=1
12,Technical Support Engineer ( Voice Process).,DXC Technology,"Noida, Chennai, Bangalore/Bengaluru",Not disclosed,"written, communication, spoken communication, Copyright, Communication Skills, Hardware Networking, Database Handling, Technical Support",https://www.naukri.com/job-listings-technical-support-engineer-voice-process-dxc-technology-india-private-limited-noida-chennai-bangalore-bengaluru-0-to-3-years-100322004659?src=jobsearchDesk&sid=16470880780401477&xp=13&px=1
13,Walk-in For International Voice Support @ Chennai- WFH,Sitel,Chennai,Not disclosed,"BPO, customer service, voice, International Sales, International Call Center, iopex, sutherland, Voice Support",https://www.naukri.com/job-listings-walk-in-for-international-voice-support-chennai-wfh-sitel-india-pvt-ltd-chennai-0-to-5-years-100322004239?src=jobsearchDesk&sid=16470880780401477&xp=14&px=1
14,Walk-in For Domestic Voice Process,Matrimony.com,Chennai,"1,50,000 - 2,50,000 PA.","English, Domestic Voice Process, Tamil, BPO, voice, Telugu, Kannada, Hindi",https://www.naukri.com/job-listings-walk-in-for-domestic-voice-process-matrimony-com-limited-chennai-0-to-2-years-110122004438?src=jobsearchDesk&sid=16470880780401477&xp=15&px=1
15,Hiring Customer Service Professionals For Internation Voice & NonVoice,Sitel,"Chennai
(WFH during Covid)",Not disclosed,"Customer Support, English Language Skills, Chat Support",https://www.naukri.com/job-listings-hiring-customer-service-professionals-for-internation-voice-nonvoice-sitel-india-pvt-ltd-chennai-0-to-3-years-080322008762?src=jobsearchDesk&sid=16470880780401477&xp=16&px=1
16,CSA Permanent Work From Home,Teleperformance,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","1,50,000 - 2,00,000 PA.","BPO, voice, inbound, csa, tamil, english, customer support",https://www.naukri.com/job-listings-csa-permanent-work-from-home-teleperformance-global-services-pvt-ltd-kolkata-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-5-years-190222004095?src=jobsearchDesk&sid=16470880780401477&xp=17&px=1
17,Academic Counselor-Sales Executive,Vedantu Innovations,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","1,00,000 - 4,00,000 PA.","BPO, Inbound Sales, Bde, B2C Sales, Telesales, Credit Card Sales, Direct Sales, Inside Sales",https://www.naukri.com/job-listings-academic-counselor-sales-executive-vedantu-innovations-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-0-to-5-years-050322001631?src=jobsearchDesk&sid=16470880780401477&xp=18&px=1
18,Amazon - Hiring For Associate - Retail Process in Chennai,Amazon,Chennai,"2,25,000 PA.","amazon, Retail, fresher, problem solving, communication skills",https://www.naukri.com/job-listings-amazon-hiring-for-associate-retail-process-in-chennai-amazon-development-centre-india-pvt-ltd-chennai-0-to-2-years-180620007748?src=jobsearchDesk&sid=16470880780401477&xp=19&px=1
19,Tamil Voice Process - | Mega Walk in For Fresher & Experienced,Matrimony.com,Chennai,"50,000 - 2,00,000 PA.","BPO, customer service, voice, voice process, Non Voice Process, domestic process, semi voice",https://www.naukri.com/job-listings-tamil-voice-process-mega-walk-in-for-fresher-experienced-matrimony-com-limited-chennai-0-to-5-years-270222002372?src=jobsearchDesk&sid=16470880780401477&xp=20&px=1
20,Customer Service- Voice/INT Chat Support,Genpact,Hyderabad/Secunderabad,Not disclosed,"BPO, customer service, voice, hindi, excellent Communication, International Call Center, Voice Process, Non Voice",https://www.naukri.com/job-listings-customer-service-voice-int-chat-support-genpact-india-private-limited-hyderabad-secunderabad-0-to-5-years-100322003879?src=jobsearchDesk&sid=16470880954474582&xp=1&px=2
21,Customer Service- Voice/INT Chat Support,Genpact,Hyderabad/Secunderabad,Not disclosed,"BPO, customer service, voice, hindi, excellent Communication, International Call Center, Voice Process, Non Voice",https://www.naukri.com/job-listings-customer-service-voice-int-chat-support-genpact-india-private-limited-hyderabad-secunderabad-0-to-5-years-100322003770?src=jobsearchDesk&sid=16470880954474582&xp=2&px=2
22,Customer Service- Voice/INT Chat Support,Genpact,Hyderabad/Secunderabad,Not disclosed,"BPO, customer service, voice, hindi, excellent Communication, International Call Center, Voice Process, Non Voice",https://www.naukri.com/job-listings-customer-service-voice-int-chat-support-genpact-india-private-limited-hyderabad-secunderabad-0-to-5-years-100322003471?src=jobsearchDesk&sid=16470880954474582&xp=3&px=2
23,Walk In For Customer Service Executive/Manager(Sales)-Gorakhpur,DCB Bank,Gorakhpur,"2,50,000 - 5,00,000 PA.","Liability Products, Sales, Direct Sales, Gold Loan, Term Deposits",https://www.naukri.com/job-listings-walk-in-for-customer-service-executive-manager-sales-gorakhpur-dcb-bank-limited-gorakhpur-0-to-5-years-100322008897?src=jobsearchDesk&sid=16470880954474582&xp=4&px=2
24,Amazon - Seller Support Associate (Virtual) - Chennai,Amazon,Remote,"2,75,000 - 4,00,000 PA.","operations, Work from Home, seller support, customer service, home based, email support",https://www.naukri.com/job-listings-amazon-seller-support-associate-virtual-chennai-amazon-development-centre-india-pvt-ltd-chennai-0-to-5-years-260222003772?src=jobsearchDesk&sid=16470880954474582&xp=5&px=2
25,Amazon - Hiring For Catalog Quality Analyst - Chennai,Amazon,Chennai,Not disclosed,"amazon, Communication Skills, Analytical Ability, E-commerce, Fresher",https://www.naukri.com/job-listings-amazon-hiring-for-catalog-quality-analyst-chennai-amazon-development-centre-india-pvt-ltd-chennai-0-to-2-years-120321004095?src=jobsearchDesk&sid=16470880954474582&xp=6&px=2
26,Associate Service Consultant,PolicyBazaar,"Chennai, Jaipur, Bangalore/Bengaluru","1,00,000 - 3,00,000 PA.","customer service, internal communication, customer support, computer skills, it helpdesk, customer focus, english language",https://www.naukri.com/job-listings-associate-service-consultant-policybazaar-insurance-brokers-pvt-ltd-chennai-jaipur-bangalore-bengaluru-0-to-5-years-250222001605?src=jobsearchDesk&sid=16470880954474582&xp=7&px=2
27,Service Desk Engineer - International Voice Process,Tech Mahindra,Chennai,"3,00,000 - 5,50,000 PA.","BPO, customer service, voice, troubleshooting, IT Helpdesk, Hardware Networking, International Call Center, Networking",https://www.naukri.com/job-listings-service-desk-engineer-international-voice-process-tech-mahindra-ltd-chennai-0-to-4-years-140222002888?src=jobsearchDesk&sid=16470880954474582&xp=8&px=2
28,Guest Service Associate - Housekeeping,Marriott,Chennai,Not disclosed,"Housekeeping, Appliances, Safety training, Room service, Management, Guest Service Associate, LBS",https://www.naukri.com/job-listings-guest-service-associate-housekeeping-marriott-chennai-0-to-2-years-080322500944?src=jobsearchDesk&sid=16470880954474582&xp=9&px=2
29,Hiring Customer Support professional For International Voice Process,Sitel,"Chennai
(WFH during Covid)","2,00,000 - 3,00,000 PA.","BPO, voice, international voice process, Product Support, customer support",https://www.naukri.com/job-listings-hiring-customer-support-professional-for-international-voice-process-sitel-india-pvt-ltd-chennai-0-to-2-years-050322003883?src=jobsearchDesk&sid=16470880954474582&xp=10&px=2
30,Flex - Virtual Walk-in For Freshers ( 0-2 years) on 25th Feb,Flex,Chennai,Not disclosed,"python, .net, sql",https://www.naukri.com/job-listings-flex-virtual-walk-in-for-freshers-0-2-years-on-25th-feb-flextronics-technologies-i-pvt-ltd-chennai-0-to-2-years-240222007963?src=jobsearchDesk&sid=16470880954474582&xp=11&px=2
31,Guest Service Associate - F&B Service,Marriott,Chennai,Not disclosed,"Supervisor, Printing, Safety training, Inspection, Management, Guest Service Associate",https://www.naukri.com/job-listings-guest-service-associate-f-b-service-marriott-chennai-0-to-2-years-070322501303?src=jobsearchDesk&sid=16470880954474582&xp=12&px=2
32,Customer Service - Technical Sales Voice/International Chat Support,Genpact,Hyderabad/Secunderabad,Not disclosed,"BPO, customer service, voice, hindi, excellent Communication, International Call Center, Voice Process, Non Voice",https://www.naukri.com/job-listings-customer-service-technical-sales-voice-international-chat-support-genpact-india-private-limited-hyderabad-secunderabad-0-to-5-years-090322005308?src=jobsearchDesk&sid=16470880954474582&xp=13&px=2
33,Amazon - Seller support associate - Chennai,Amazon,Chennai,"2,75,000 - 4,00,000 PA.","English, operations, Work from Home, seller support, customer service, home based, Calling, Hindi",https://www.naukri.com/job-listings-amazon-seller-support-associate-chennai-amazon-development-centre-india-pvt-ltd-chennai-0-to-5-years-240122003628?src=jobsearchDesk&sid=16470880954474582&xp=14&px=2
34,Amazon - Hiring For Catalog Associate in Chennai,Amazon,Chennai,"2,25,000 PA.","Communication Skills, Catalog Associate, Problem Solving, Fresher, Amazon",https://www.naukri.com/job-listings-amazon-hiring-for-catalog-associate-in-chennai-amazon-development-centre-india-pvt-ltd-chennai-0-to-2-years-240122002967?src=jobsearchDesk&sid=16470880954474582&xp=15&px=2
35,"Amazon - Data Associate, Alexa Shopping, Chennai",Amazon,Chennai,"2,50,000 - 2,75,000 PA.","Origin, Excel, Email, Searching, Office Skills, Data Analysis, Process Efficiency, MS Office",https://www.naukri.com/job-listings-amazon-data-associate-alexa-shopping-chennai-amazon-development-centre-india-pvt-ltd-chennai-0-to-2-years-240122002852?src=jobsearchDesk&sid=16470880954474582&xp=16&px=2
36,Non Voice Process @ Chennai,Teleperformance,Chennai,Not disclosed,"BPO, non voice, hindi, non voice process, written communication, web chat, Email Process, customer support",https://www.naukri.com/job-listings-non-voice-process-chennai-teleperformance-global-services-pvt-ltd-chennai-0-to-5-years-080322007312?src=jobsearchDesk&sid=16470880954474582&xp=17&px=2
37,International Semi Voice Process - RSA - Chennai Location,RR Donnelley,Chennai(Teynampet),"1,00,000 - 2,75,000 PA.","BPO, semi voice, international voice process, phone, written communication, chat, ms office suite, email",https://www.naukri.com/job-listings-international-semi-voice-process-rsa-chennai-location-rr-donnelley-india-outsource-private-limited-chennai-0-to-3-years-080322007282?src=jobsearchDesk&sid=16470880954474582&xp=18&px=2
38,"Direct ""walk-in"" For ""fresher"" in ""Bpo"" ""Non Voice""",Zealous Services,Chennai(Nungambakkam),"90,000 - 1,00,000 PA.","BPO, Non Voice Process, Fresher, semi voice, Customer Service, International Call Center, US Shift, International Non Voice",https://www.naukri.com/job-listings-direct-walk-in-for-fresher-in-bpo-non-voice-zealous-services-chennai-0-to-1-years-070322000427?src=jobsearchDesk&sid=16470880954474582&xp=19&px=2
39,Spot Offer For Freshers in Non Voice Process BPO - Walk-in,Zealous Services,Chennai(Nungambakkam),"1,00,000 - 1,25,000 PA.","US Process, Fresher, Bpo Non Voice, BPO, non voice, semi voice, Entry Level, Customer Support",https://www.naukri.com/job-listings-spot-offer-for-freshers-in-non-voice-process-bpo-walk-in-zealous-services-chennai-0-to-1-years-040322001790?src=jobsearchDesk&sid=16470881146758083&xp=1&px=3
40,Spot Selection - Walk-in For Fresher/Experienced - Back Office,Cholamandalam Investment & Finance,Chennai,Not disclosed,"Pivot Table, Customer Service, back office, MIS, VLOOKUP, Backend Operations, Hindi, Powerpoint",https://www.naukri.com/job-listings-spot-selection-walk-in-for-fresher-experienced-back-office-cholamandalam-investment-finance-chennai-0-to-2-years-280222008755?src=jobsearchDesk&sid=16470881146758083&xp=2&px=3
41,Walk-In : We are hiring Life Science Graduates,SPI technologies india private limited,Chennai,Not disclosed,"written communication, language skills",https://www.naukri.com/job-listings-walk-in-we-are-hiring-life-science-graduates-spi-technologies-india-private-limited-chennai-0-to-3-years-110322610820?src=jobsearchDesk&sid=16470881146758083&xp=3&px=3
42,Walk-In : We are hiring Life Science Graduates,SPI technologies india private limited,Chennai,Not disclosed,"written communication, language skills",https://www.naukri.com/job-listings-walk-in-we-are-hiring-life-science-graduates-spi-technologies-india-private-limited-chennai-0-to-3-years-110322010818?src=jobsearchDesk&sid=16470881146758083&xp=4&px=3
43,Walk - In drive For freshers,Fujitec,"Chengalpattu, Chennai",Not disclosed,"Electronics, Design Engineering, B.E, Electricals",https://www.naukri.com/job-listings-walk-in-drive-for-freshers-fujitec-india-pvt-ltd-chengalpattu-chennai-0-to-0-years-110322004471?src=jobsearchDesk&sid=16470881146758083&xp=5&px=3
44,Multiple Openings - Document Specialist - Chennai - Night Shift,RR Donnelley,Chennai(Teynampet),"1,00,000 - 1,75,000 PA.","Document Specialist, Fresher, Night shift",https://www.naukri.com/job-listings-multiple-openings-document-specialist-chennai-night-shift-rr-donnelley-india-outsource-private-limited-chennai-0-to-2-years-080322007235?src=jobsearchDesk&sid=16470881146758083&xp=6&px=3
45,Finance Specialist,Larsen & Toubro (L&T),Chennai,Not disclosed,"Accounting, Finance, Reconciliation, Sales Tax",https://www.naukri.com/job-listings-finance-specialist-larsen-toubro-limited-chennai-0-to-2-years-050322003657?src=jobsearchDesk&sid=16470881146758083&xp=7&px=3
46,Immediate opening For Customer Support voice,Crown Solutions India (P) Ltd,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","50,000 - 2,00,000 PA.","customer service, written, verbal communication, analytical, communication, Voice Process, customer support",https://www.naukri.com/job-listings-immediate-opening-for-customer-support-voice-crown-solutions-india-p-ltd-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-0-to-2-years-170222003181?src=jobsearchDesk&sid=16470881146758083&xp=8&px=3
47,Franchise Business Consultant,Franchise Alpha,"Mumbai, Gandhinagar, Chandigarh, Pune, Chennai, Bengaluru, Trivandrum, haryana,kerala",Not disclosed,"Cold calling, Sales planning, Networking, Strategic planning, Public speaking, Account management, Customer service, MS Office",https://www.naukri.com/job-listings-franchise-business-consultant-franchise-alpha-mumbai-gandhinagar-chandigarh-pune-chennai-bengaluru-bangalore-trivandrum-haryana-kerala-0-to-3-years-201118500296?src=jobsearchDesk&sid=16470881146758083&xp=9&px=3
48,Walk-in For Freshers in Non Voice Process BPO,Zealous Services,Chennai(Nungambakkam),"1,00,000 - 1,25,000 PA.","Customer Support, Bpo Non Voice, Freshers, BPO, non voice, semi voice, US Process, Entry Level",https://www.naukri.com/job-listings-walk-in-for-freshers-in-non-voice-process-bpo-zealous-services-chennai-0-to-1-years-180222001912?src=jobsearchDesk&sid=16470881146758083&xp=10&px=3
49,Mega Walk-in For Fresher's-International Non-Voice Process - Day Shift,ecare India Pvt Ltd.,Chennai(Mount Road),Not disclosed,"BPO, non voice, day shift, English, fresher, written communication, communication skills",https://www.naukri.com/job-listings-mega-walk-in-for-fresher-s-international-non-voice-process-day-shift-ecare-india-pvt-ltd-chennai-0-to-1-years-110322010624?src=jobsearchDesk&sid=16470881146758083&xp=11&px=3
50,Hiring For International voice and Non-voice process,Sitel,"Chennai(Taramani)
(WFH during Covid)","2,00,000 - 2,25,000 PA.","BPO, voice, non voice, International Sales, Customer Support, Customer Service, US Shift, International Non Voice",https://www.naukri.com/job-listings-hiring-for-international-voice-and-non-voice-process-sitel-india-pvt-ltd-chennai-0-to-2-years-110322001718?src=jobsearchDesk&sid=16470881146758083&xp=12&px=3
51,Allsec is Hiring Domestic Voice Process - Chennai Location,Allsec Technologies Limited,Chennai,"1,00,000 - 2,50,000 PA.","domestic voice process, customer service, english, BPO",https://www.naukri.com/job-listings-allsec-is-hiring-domestic-voice-process-chennai-location-allsec-technologies-limited-chennai-0-to-2-years-100322009898?src=jobsearchDesk&sid=16470881146758083&xp=13&px=3
52,Excellent Opportunity -Tamil Voice Process -Customer Service Executive,Matrimony.com,Chennai,"50,000 - 2,00,000 PA.","BPO, customer service, voice",https://www.naukri.com/job-listings-excellent-opportunity-tamil-voice-process-customer-service-executive-matrimony-com-limited-chennai-0-to-5-years-090322003557?src=jobsearchDesk&sid=16470881146758083&xp=14&px=3
53,Excellent opening For freshers US healthcare - Voice process,NTT Data,Chennai,Not disclosed,"Customer Service, US Shift, Night Shift, BPO, voice, good communication, Voice Process, Customer Support",https://www.naukri.com/job-listings-excellent-opening-for-freshers-us-healthcare-voice-process-ntt-data-global-delivery-services-private-limited-chennai-0-to-1-years-270122003162?src=jobsearchDesk&sid=16470881146758083&xp=15&px=3
54,Amazon CXQO Associate - Chennai( Work from Home)(2022),Amazon,Chennai,"2,50,000 - 3,00,000 PA.","IT Skills, Machine Learning, Root Cause Analysis, Performance Metrics, Data Operations, Data Collection, Process Improvement Initiatives, Communication Skills",https://www.naukri.com/job-listings-amazon-cxqo-associate-chennai-work-from-home-2022-amazon-development-centre-india-pvt-ltd-chennai-0-to-2-years-251121000972?src=jobsearchDesk&sid=16470881146758083&xp=16&px=3
55,Intern - Chennai Hub,Pfizer,Chennai,Not disclosed,"Administration, Academic Research, Technical writing, Business analytics, Analytical, digital campaigns, Support services, Customer service",https://www.naukri.com/job-listings-intern-chennai-hub-pfizer-limited-chennai-0-to-1-years-110322501079?src=jobsearchDesk&sid=16470881146758083&xp=17&px=3
56,Associate - CS Internet,Sutherland Global Services Inc,Chennai,Not disclosed,"service, CRM, written communication, Word, verbal, Excel, Microsoft Office, Basic",https://www.naukri.com/job-listings-associate-cs-internet-sutherland-global-services-inc-chennai-0-to-4-years-100322500556?src=jobsearchDesk&sid=16470881146758083&xp=18&px=3
57,Citi Phone Banking Officer,Citibank,Chennai,"3,50,000 - 5,50,000 PA.","phone banking, Communication Skills, Customer Service, Problem Solving, Convincing Power, Customer Handling, Communication",https://www.naukri.com/job-listings-citi-phone-banking-officer-citibank-n-a-chennai-0-to-5-years-100322009235?src=jobsearchDesk&sid=16470881146758083&xp=19&px=3
58,Associate - Transaction Processing,Sutherland Global Services Inc,Chennai,Not disclosed,"Talent acquisition, Finance, Billing, Banking, Customer support, Customer service, Transaction processing, Technical support",https://www.naukri.com/job-listings-associate-transaction-processing-sutherland-global-services-inc-chennai-0-to-4-years-080322500738?src=jobsearchDesk&sid=16470881146758083&xp=20&px=3
59,Freshers Virtual Walk-in - Testing - (9th March),Indium Software (India) Limited,"Chennai
(WFH during Covid)",Not disclosed,"IT Skills, Testing, Cloud, Big Data, AWS, Azure, Testing Process, Software Testing",https://www.naukri.com/job-listings-freshers-virtual-walk-in-testing-9th-march-indium-software-india-limited-chennai-0-to-0-years-070322001599?src=jobsearchDesk&sid=16470881343721466&xp=1&px=4
60,Guest Service Associate - Front Office,Marriott,Chennai,Not disclosed,"Supervisor, security staff, Front office, Manager Quality Assurance, Compliance, Billing, Banking, Management",https://www.naukri.com/job-listings-guest-service-associate-front-office-marriott-chennai-0-to-2-years-160222501118?src=jobsearchDesk&sid=16470881343721466&xp=2&px=4
61,Sr . Assoc - Trans Processing,Sutherland Global Services Inc,Chennai,Not disclosed,"CRM, written communication, Microsoft Office, service, verbal, Excel, Basic, Usage",https://www.naukri.com/job-listings-sr-assoc-trans-processing-sutherland-global-services-inc-chennai-0-to-4-years-050322500339?src=jobsearchDesk&sid=16470881343721466&xp=3&px=4
62,Korean Language Specialist,RR Donnelley,Chennai,"4,00,000 - 6,00,000 PA.",korean,https://www.naukri.com/job-listings-korean-language-specialist-rr-donnelley-india-outsource-private-limited-chennai-0-to-5-years-020322007487?src=jobsearchDesk&sid=16470881343721466&xp=4&px=4
63,Mega Virtual Drive For Customer Support ( Voice Process ),Genpact,Hyderabad/Secunderabad,Not disclosed,"BPO, customer service, voice, hindi, voice process, telesales, customer care, outbound calling",https://www.naukri.com/job-listings-mega-virtual-drive-for-customer-support-voice-process-genpact-india-private-limited-hyderabad-secunderabad-0-to-5-years-090322003897?src=jobsearchDesk&sid=16470881343721466&xp=5&px=4
64,Freshers Walk-in For Software Testing Opportunity,Creative Hands HR Consultancy,"Hyderabad/Secunderabad, Ahmedabad, Chennai, Jaipur, Bangalore/Bengaluru, Mumbai (All Areas)","4,00,000 - 6,00,000 PA.","Software Testing, testing, fresher, IT Skills, bca, good communication, be, btech",https://www.naukri.com/job-listings-freshers-walk-in-for-software-testing-opportunity-creative-hands-hr-consultancy-hyderabad-secunderabad-ahmedabad-chennai-jaipur-bangalore-bengaluru-mumbai-all-areas-0-to-5-years-120322001094?src=jobsearchDesk&sid=16470881343721466&xp=6&px=4
65,Customer Support Professional,CollaborationPeople Technologies,"Kolkata, Mumbai, Hyderabad, Delhi, Pune, Ahmedabad, Chennai, Bengaluru",Not disclosed,"Customer relationship, Customer Support Professional, Management",https://www.naukri.com/job-listings-customer-support-professional-collaborationpeople-technologies-kolkata-mumbai-hyderabad-secunderabad-delhi-pune-ahmedabad-chennai-bengaluru-bangalore-0-to-3-years-290920500592?src=jobsearchDesk&sid=16470881343721466&xp=7&px=4
66,SBA/AM/Manager/Senior Manager - Analytics - Group Disability,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,Not disclosed,"R, SAS, Python, Word, PowerPoint, MS Office, learning, Excel",https://www.naukri.com/job-listings-sba-am-manager-senior-manager-analytics-group-disability-huquo-consulting-pvt-ltd-gurgaon-gurugram-4-to-8-years-180222900362?src=jobsearchDesk&sid=16470881343721466&xp=8&px=4
67,Technical Support Engineer - Freshers,Trigent,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Delhi / NCR
(WFH during Covid)","50,000 - 2,00,000 PA.","Desktop Troubleshooting, Technical Support, Service Desk",https://www.naukri.com/job-listings-technical-support-engineer-freshers-trigent-software-private-limited-hyderabad-secunderabad-chennai-bangalore-bengaluru-delhi-ncr-0-to-0-years-070222607082?src=jobsearchDesk&sid=16470881343721466&xp=9&px=4
68,Walkin For Customer Service Executive,Axis Direct,"Navi Mumbai, Mumbai (All Areas)","50,000 - 3,00,000 PA.","inbound, customer service, spoken english, financial products, chat, outbound calling, non voice, financial markets",https://www.naukri.com/job-listings-walkin-for-customer-service-executive-axis-securities-limited-navi-mumbai-mumbai-all-areas-0-to-5-years-100322008287?src=jobsearchDesk&sid=16470881343721466&xp=10&px=4
69,Mega Walk-in Drive - Phone Banking Officer- Bangalore,HDB Financial Services,Bangalore/Bengaluru,"50,000 - 1,50,000 PA.","bangalore, Phone Banking",https://www.naukri.com/job-listings-mega-walk-in-drive-phone-banking-officer-bangalore-hdb-financial-services-limited-bangalore-bengaluru-0-to-2-years-120322002327?src=jobsearchDesk&sid=16470881343721466&xp=11&px=4
70,Virtual Walk-in | Naukri.com | Customer Service,Info Edge India,Noida(Sector-2 Noida),"50,000 - 3,00,000 PA.","bpo, Customer Service, Operations, Escalation Management, Handling Customer Queries, b2c, kpo, Client Handling",https://www.naukri.com/job-listings-virtual-walk-in-naukri-com-customer-service-info-edge-india-ltd-noida-0-to-2-years-090921000934?src=jobsearchDesk&sid=16470881343721466&xp=12&px=4
71,IT Service Desk Executive - Walk In Drive on 12th March Pune,Wipro,"Pune, Pune",Not disclosed,"Desktop Management, Service Desk Management, IT Helpdesk, Desktop Support, Networking, Remote Support, Technical Helpdesk, it service desk",https://www.naukri.com/job-listings-it-service-desk-executive-walk-in-drive-on-12th-march-pune-wipro-limited-pune-pune-0-to-1-years-100322007431?src=jobsearchDesk&sid=16470881343721466&xp=13&px=4
